id,title,type,priority,estimate,owner,epic,dependencies,labels,milestone,description,acceptance_criteria,technical_notes
SG-001,"初始化 Monorepo 与工具链","Chore","P0","5","TL + DO","E1","","area:infra, type:chore, m:foundation","Alpha","搭建 pnpm + Turborepo 的 Monorepo 结构，初始化 Git、EditorConfig、.gitignore、README、CONTRIBUTING。","- [ ] `pnpm-workspace.yaml` 定义 `apps/*` 和 `packages/*` - [ ] `turbo.json` 配置 build / test / lint / typecheck pipeline - [ ] 根目录 `.gitignore` / `.editorconfig` / `.prettierrc` 完整 - [ ] README 包含项目介绍、本地开发指南、目录结构 - [ ] `pnpm install` 在干净环境一次成功 - [ ] `pnpm build` 跑通空 pipeline","参考 TDD §11.1 仓库结构。"
SG-002,"Plasmo 浏览器插件骨架","Feature","P0","5","FE","E1","SG-001","area:plugin, type:feature, m:foundation","Foundation","初始化 Plasmo 浏览器插件项目（`apps/extension`），配置 Manifest V3、TypeScript、React 18、Tailwind CSS。","- [ ] Plasmo 项目创建成功，可 `pnpm dev` 启动 - [ ] Manifest V3 配置正确（permissions、host_permissions） - [ ] TypeScript 5.4+ 配置，strict 模式开启 - [ ] Tailwind 集成，自定义设计 token 生效 - [ ] Background SW、Content Script、Popup 三个 entrypoint 存在 - [ ] 可在 Chrome `chrome://extensions` 加载 unpacked 扩展 - [ ] `pnpm build` 输出 `build/chrome-mv3-prod` 目录","参考 TDD §1.1 选型 + Wireframes §1 设计 Token。"
SG-003,"Fastify 云端服务骨架","Feature","P0","5","BE","E1","SG-001","area:server, type:feature, m:foundation","Foundation","初始化 Fastify 服务项目（`apps/server`），集成 Drizzle ORM、Pino 日志、","- [ ] Fastify 服务可在 `localhost:3000` 启动 - [ ] `/health` 端点返回 `{ status: 'ok' }` - [ ] `/docs` Swagger UI 可访问 - [ ] Pino 日志 JSON 格式输出 - [ ]","参考 TDD §5.2 REST API 约定。"
SG-004,"GitHub Actions CI 工作流","Chore","P0","3","DO","E1","SG-001, SG-002, SG-003","area:infra, type:chore, m:foundation","Foundation","建立 PR + push 触发的 CI 工作流：安装依赖、类型检查、Lint、单元测试、构建、E2E（仅 main 分支）。","- [ ] PR 触发：typecheck + lint + test:unit + build - [ ] push main 触发：上述 + test:e2e + docker build - [ ] 覆盖率上传到 Codecov - [ ] 构建产物在 GitHub Actions 中可下载 - [ ] Status check 阻塞 PR 合并","参考 TDD §11.2 YAML 模板。"
SG-005,"Docker Compose 本地开发环境","Chore","P1","3","DO","E1","SG-003","area:infra, type:chore, m:foundation","Foundation","编写 `docker-compose.yml`，启动 PostgreSQL 16 + Redis 7 服务，供本地开发。","- [ ] `docker compose up -d` 一键启动 PG + Redis - [ ] 服务健康检查通过 - [ ] 数据卷持久化 - [ ] `.env.example` 列出所有配置项 - [ ] README 包含初始化步骤",""
SG-006,"设计 Token 与 Tailwind 主题","Chore","P0","3","FE + DS","E1","SG-002","area:design, type:chore, m:foundation","Foundation","把 Wireframes §1 的设计 Token 落地为 Tailwind 配置 + CSS 变量。","- [ ] `tailwind.config.ts` 包含所有颜色、字体、间距、圆角 token - [ ] CSS 变量在 `:root` 与 `.dark` 定义 - [ ] 提供 `getToken()` TS 工具函数 - [ ] Storybook 或展示页验证 token 生效 - [ ] 暗色模式跟随 `prefers-color-scheme`","参考 Wireframes §1.1-1.4 完整 token 列表。"
SG-007,"shadcn/ui 组件库初始化","Chore","P0","3","FE","E1","SG-006","area:plugin, type:chore, m:foundation","Foundation","按需添加 shadcn/ui 组件：Button、Card、Badge、Input、Switch、Dialog、Drawer、Tabs、Table、Toast、Tooltip、Empty、Skeleton、Command。","- [ ] `components.json` 配置正确 - [ ] 14+ 基础组件添加到 `components/ui/` - [ ] 所有组件在 Popup 中可见可用 - [ ] 主题切换（亮/暗）正常","参考 Wireframes §2 组件库约定。"
SG-008,"Logo 与品牌物料","Feature","P1","3","DS","E1","","area:design, type:feature, m:foundation","Foundation","设计 ScriptGuard Logo（SVG）、Favicon、Chrome Web Store 图标（16/32/48/128）、营销海报。","- [ ] Logo SVG 矢量文件 - [ ] 4 种尺寸 PNG 图标 - [ ] 暗色模式适配 - [ ] 品牌色规范文档 - [ ] 简单使用说明 README",""
SG-009,"Drizzle 数据库 Schema","Feature","P0","5","BE","E1","SG-003","area:db, type:feature, m:foundation","Foundation","实现 TDD §4.2.2 的完整 Drizzle Schema，含 users、teams、scripts、check_rules、test_schedules、test_runs、alerts、notify_channels、script_versions 九张表与所有索引。","- [ ] `apps/server/src/db/schema.ts` 包含所有表定义 - [ ] 所有 enum 类型定义（plan、health_status、run_at、alert_level） - [ ] 外键 + 索引 + 唯一约束齐全 - [ ] `pnpm db:generate` 生成迁移文件 - [ ] `pnpm db:migrate` 在干净库成功执行 - [ ] Seed 脚本可创建测试用户 + 脚本","参考 TDD §4.2 Drizzle Schema + §4.2.3 索引。"
SG-010,"客户端存储封装层","Feature","P0","5","FE","E1","SG-002","area:plugin, type:feature, m:foundation","Foundation","封装 chrome.storage（结构化配置）+ IndexedDB（via Dexie，日志和快照）+ chrome.storage.session（临时态）。提供统一 Store API。","- [ ] `storage/chrome.ts` 封装 chrome.storage.local，提供 KV API - [ ] `storage/db.ts` 用 Dexie 定义 checks / snapshots / alerts 三张表 - [ ] `storage/session.ts` 封装 chrome.storage.session - [ ]","参考 TDD §4.1 客户端存储分层。"
